Gene,eLife_2024,NatComm_2025_Xu,NatComm_2025_Wu,J_Obes_2025,Notes
JAZF1,FALSE,TRUE,TRUE,FALSE,
JMJD1C,FALSE,TRUE,TRUE,TRUE,
KBTBD12,FALSE,TRUE,FALSE,FALSE,
KCTD18,FALSE,TRUE,FALSE,FALSE,
KDELC2,FALSE,TRUE,FALSE,FALSE,
KIAA0391,FALSE,TRUE,FALSE,FALSE,
KIAA0907,FALSE,TRUE,FALSE,FALSE,
KIF17,FALSE,TRUE,FALSE,FALSE,
L3MBTL3,FALSE,TRUE,FALSE,FALSE,
LEPR,FALSE,TRUE,TRUE,TRUE,
LEPROT,FALSE,TRUE,FALSE,FALSE,
LGR4,TRUE,FALSE,FALSE,FALSE,
LOH12CR1,FALSE,TRUE,TRUE,FALSE,
LRRC3C,FALSE,TRUE,FALSE,FALSE,
MAL2,FALSE,TRUE,FALSE,FALSE,
MAPK4,FALSE,FALSE,TRUE,FALSE,
MAPKAPK5,FALSE,TRUE,FALSE,FALSE,
MARK4,FALSE,TRUE,TRUE,FALSE,"Wu et al report this as MARK4:AC006126.4 in Supp Table 8. Here, we use MARK4 only to be consistent with Xu et al"
ME3,FALSE,TRUE,TRUE,TRUE,"Wu et al report this as RP11-317J19.1:ME3  in Supp Table 8. Here, we use ME3 only to be consistent with Xu et al"
MED24,FALSE,TRUE,FALSE,FALSE,
MKRN2,FALSE,TRUE,TRUE,TRUE,
MLLT4,FALSE,TRUE,TRUE,FALSE,
MLXIPL,FALSE,TRUE,FALSE,FALSE,
MMP24,FALSE,TRUE,FALSE,FALSE,
MPP7,TRUE,FALSE,FALSE,FALSE,
MSI2,FALSE,FALSE,TRUE,FALSE,
MSTO1,FALSE,TRUE,TRUE,FALSE,"Wu et al report this as MSTO1:MSTO2P in Supp Table 8. Here, we use MSTO1 only to be consistent with Xu et al"
NAA25,FALSE,TRUE,TRUE,FALSE,
NECAB3,FALSE,TRUE,FALSE,FALSE,
NEK4,FALSE,TRUE,FALSE,FALSE,
NOS1AP,FALSE,TRUE,TRUE,FALSE,
NPHP3,FALSE,TRUE,FALSE,TRUE,Ahmed et al report as NPHP3/NPHP3-ACAD11 in Supplementary Figure 4. Here we report this as NPHP3 and ACAD11 (two separate genes) for consistency with Xu et al
NRBF2,FALSE,TRUE,FALSE,FALSE,
NT5DC2,FALSE,TRUE,FALSE,FALSE,
NXN,TRUE,FALSE,FALSE,FALSE,
OBP2B,TRUE,FALSE,FALSE,FALSE,
ORMDL3,FALSE,TRUE,FALSE,FALSE,
PAN3,FALSE,TRUE,TRUE,FALSE,
PBRM1,FALSE,TRUE,FALSE,FALSE,
PKLR,FALSE,TRUE,FALSE,FALSE,
PLA2G4E,FALSE,TRUE,FALSE,FALSE,
POLR2E,FALSE,TRUE,FALSE,FALSE,
PPARG,FALSE,TRUE,TRUE,TRUE,
PPP1R3B,TRUE,FALSE,FALSE,FALSE,
PPP2R3C,FALSE,TRUE,FALSE,FALSE,
PSMD3,FALSE,TRUE,TRUE,FALSE,
PTCD1,FALSE,TRUE,FALSE,FALSE,
PTHLH,FALSE,TRUE,FALSE,FALSE,
PTPN11,FALSE,TRUE,TRUE,FALSE,
PXMP4,FALSE,TRUE,FALSE,FALSE,
RAF1,FALSE,TRUE,TRUE,FALSE,
RBM39,FALSE,TRUE,FALSE,FALSE,
RCL1,FALSE,TRUE,TRUE,FALSE,
REEP3,FALSE,TRUE,FALSE,FALSE,
RIT1,FALSE,TRUE,TRUE,FALSE,
RMND1,FALSE,TRUE,FALSE,FALSE,
RN7SL854P,FALSE,FALSE,TRUE,FALSE,
RNA5SP181,FALSE,FALSE,TRUE,FALSE,
RNU4-35P,FALSE,FALSE,TRUE,FALSE,
RP1-135L22.1,FALSE,FALSE,TRUE,FALSE,
RP1-172I22.1,FALSE,FALSE,TRUE,FALSE,
RP11-101E14.2,FALSE,FALSE,TRUE,FALSE,
RP11-1102P16.1,FALSE,TRUE,TRUE,FALSE,
RP11-145E17.2,FALSE,FALSE,TRUE,FALSE,
RP11-156P1.2,FALSE,TRUE,TRUE,FALSE,"Supp Table 8 of Wu et al shows RP11-156P1.2 as part of the GOSR2/RP11-156P1.2 locus, but in other GWASes it is shown separately as GOSR2 and/or RP11-156P1.2. Therefore, in this comparison we list GOSR2 and RP11-156P1.2 separately and show both as 'TRUE' for Wu et al 2025. "
RP11-162P23.2,FALSE,TRUE,FALSE,FALSE,
RP11-273B19.1,FALSE,FALSE,TRUE,FALSE,
RP11-395D3.1,FALSE,FALSE,TRUE,FALSE,
RP11-415K20.1,FALSE,FALSE,TRUE,FALSE,
RP11-834C11.12,FALSE,TRUE,FALSE,FALSE,
RP11-95P13.1,FALSE,FALSE,TRUE,FALSE,
RP11-993B23.1,FALSE,FALSE,TRUE,FALSE,
RP4-667H12.4,FALSE,FALSE,TRUE,FALSE,
RP5-966M1.6,FALSE,TRUE,FALSE,FALSE,
RPH3A,FALSE,TRUE,FALSE,FALSE,
RPL35P4,FALSE,FALSE,TRUE,FALSE,
RPL6,FALSE,TRUE,FALSE,FALSE,
RPRML,FALSE,TRUE,FALSE,FALSE,
RREB1,FALSE,TRUE,FALSE,FALSE,
RUNX1,FALSE,TRUE,FALSE,FALSE,
RUSC1,FALSE,TRUE,FALSE,FALSE,
RUVBL1,FALSE,TRUE,FALSE,FALSE,
RXFP4,FALSE,TRUE,FALSE,FALSE,
RXRA,TRUE,FALSE,FALSE,TRUE,
SAMD3,FALSE,TRUE,FALSE,FALSE,
SATB2,FALSE,TRUE,FALSE,FALSE,
SBNO2,FALSE,TRUE,TRUE,TRUE,
SCAMP3,FALSE,TRUE,FALSE,FALSE,
SEC61A1,FALSE,TRUE,FALSE,FALSE,
SFRP4,TRUE,FALSE,FALSE,TRUE,
SGOL2,FALSE,TRUE,FALSE,FALSE,
SH2B3,FALSE,TRUE,TRUE,FALSE,
SH2D5,FALSE,TRUE,FALSE,FALSE,
SHFM1,TRUE,TRUE,TRUE,FALSE,
SLC14A2,FALSE,TRUE,TRUE,FALSE,"Wu et al report this as SLC14A2:RP11-749H17.1:RP11-749H17.2 in Supp Table 8. Here, we use SLC14A2 only to be consistent with Xu et al"
SMIM4,FALSE,TRUE,FALSE,FALSE,
SNTA1,FALSE,TRUE,FALSE,FALSE,
SOS2,FALSE,TRUE,TRUE,FALSE,
SOX6,FALSE,TRUE,FALSE,FALSE,
SPAG4,FALSE,TRUE,FALSE,FALSE,
SPATS2L,FALSE,TRUE,FALSE,FALSE,
SPCS1,FALSE,TRUE,FALSE,FALSE,
SRP54,FALSE,TRUE,FALSE,FALSE,
SSPN,FALSE,TRUE,TRUE,FALSE,"Wu et al report this as SSPN:RP11-283G6.4:RP11-283G6.5 in Supp Table 8. Here, we use SSPN only to be consistent with Xu et al"
SSR2,FALSE,TRUE,FALSE,FALSE,
STAB1,FALSE,TRUE,FALSE,FALSE,
STK11,FALSE,TRUE,FALSE,FALSE,
STXBP6,FALSE,TRUE,TRUE,FALSE,
SYT11,FALSE,TRUE,FALSE,FALSE,
TAC4,TRUE,FALSE,FALSE,FALSE,
TBC1D8,TRUE,TRUE,FALSE,FALSE,
TBL2,FALSE,TRUE,FALSE,FALSE,
TCF7L1,TRUE,TRUE,FALSE,FALSE,
TERT,FALSE,TRUE,TRUE,TRUE,
THRA,FALSE,TRUE,FALSE,FALSE,
TIMP4,FALSE,TRUE,FALSE,FALSE,
TMEM116,FALSE,TRUE,FALSE,FALSE,
TMEM40,FALSE,TRUE,FALSE,FALSE,
TNFRSF11A,FALSE,TRUE,TRUE,FALSE,
TNFRSF11B,FALSE,TRUE,TRUE,FALSE,
TNFSF11,TRUE,TRUE,FALSE,FALSE,
TRAFD1,FALSE,TRUE,FALSE,FALSE,
TRPS1,FALSE,TRUE,TRUE,FALSE,
TSEN2,FALSE,TRUE,TRUE,TRUE,
TSPAN32,FALSE,FALSE,TRUE,FALSE,
TYW5,FALSE,TRUE,FALSE,FALSE,
UBA5,FALSE,TRUE,FALSE,FALSE,
UBQLN4,FALSE,TRUE,FALSE,FALSE,
UQCC1,FALSE,TRUE,FALSE,TRUE,
WHAMM,FALSE,TRUE,FALSE,FALSE,
WNT16,TRUE,TRUE,FALSE,TRUE,
WNT4,TRUE,FALSE,TRUE,FALSE,
WNT9B,FALSE,TRUE,FALSE,TRUE,
WWOX,FALSE,FALSE,TRUE,FALSE,
YY1AP1,FALSE,TRUE,FALSE,FALSE,
ZCCHC2,FALSE,TRUE,FALSE,FALSE,
ZCCHC24,TRUE,FALSE,FALSE,FALSE,
ZKSCAN5,FALSE,TRUE,FALSE,FALSE,
ZNF394,FALSE,TRUE,FALSE,FALSE,
ZNF655,FALSE,TRUE,FALSE,FALSE,
ZNF789,FALSE,TRUE,FALSE,FALSE,
AFDN,FALSE,FALSE,FALSE,TRUE,
FADS1,FALSE,FALSE,FALSE,TRUE,
GJA1,FALSE,FALSE,FALSE,TRUE,
RERE,FALSE,FALSE,FALSE,TRUE,
CHD1,FALSE,FALSE,FALSE,TRUE,
CPN1,FALSE,FALSE,FALSE,TRUE,
EYA2,FALSE,FALSE,FALSE,TRUE,
EYA4,FALSE,FALSE,FALSE,TRUE,
FAM13A,FALSE,FALSE,FALSE,TRUE,
HBS1L,FALSE,FALSE,FALSE,TRUE,
HDGFL1,FALSE,FALSE,FALSE,TRUE,
HNRNPA0,FALSE,FALSE,FALSE,TRUE,
IRS2,FALSE,FALSE,FALSE,TRUE,
KIT,FALSE,FALSE,FALSE,TRUE,
LPIN3,FALSE,FALSE,FALSE,TRUE,
PRL,FALSE,FALSE,FALSE,TRUE,
RAB18,FALSE,FALSE,FALSE,TRUE,
SEM1,FALSE,FALSE,FALSE,TRUE,
SLC1A3,FALSE,FALSE,FALSE,TRUE,
SLC30A10,FALSE,FALSE,FALSE,TRUE,
WASF2,FALSE,FALSE,FALSE,TRUE,
WLS,FALSE,FALSE,FALSE,TRUE,
ZBTB40,FALSE,FALSE,FALSE,TRUE,
